complaint_text,department
Sudden stoppage of water supply without notice,Water Supply
Water comes only for a few minutes a day,Water Supply
Irregular water supply is disturbing daily routine,Water Supply
Water quality is very poor in this area,Water Supply
Yellowish water is coming from the tap,Water Supply
Water leakage inside the street is causing inconvenience,Water Supply
Drinking water smells bad and looks unsafe,Water Supply
Pipeline repair work is delayed for many days,Water Supply
No proper water supply during morning hours,Water Supply
Water problem is affecting children and senior citizens,Water Supply
Tap water pressure is too low for daily use,Water Supply
Overflowing water from tank is damaging the road,Water Supply
Water supply problem has not been resolved yet,Water Supply
Residents are facing severe water shortage,Water Supply
Water line damage is causing supply disruption,Water Supply
Water issue is making cooking and cleaning difficult,Water Supply
Unsafe drinking water is causing health concerns,Water Supply
Water supply stops suddenly every day,Water Supply
Public water tap is not working properly,Water Supply
Leakage from underground pipeline needs attention,Water Supply
Water problem is affecting online classes and work,Water Supply
Water tastes salty and unpleasant,Water Supply
Low pressure during peak hours is a major issue,Water Supply
Water supply is not available at night,Water Supply
Children have to walk far to fetch water,Water Supply
Senior citizens are unable to carry water,Water Supply
Water pipeline is damaged due to road work,Water Supply
Unclean water is being supplied to homes,Water Supply
Water issue has been ongoing for weeks,Water Supply
Drinking water supply is unreliable,Water Supply
Overflow from water tank is attracting mosquitoes,Water Supply
Water problem is affecting hygiene in homes,Water Supply
Pipeline leakage is causing water wastage,Water Supply
Tap water has particles and dirt,Water Supply
Water supply problem needs urgent action,Water Supply
Frequent power cuts are affecting daily life,Electricity & Streetlights
No electricity supply since last night,Electricity & Streetlights
Streetlight near my house is not working,Electricity & Streetlights
Several streetlights are switched off at night,Electricity & Streetlights
Loose electric wires are hanging dangerously,Electricity & Streetlights
Electric pole is damaged and leaning,Electricity & Streetlights
Voltage fluctuation is damaging home appliances,Electricity & Streetlights
Power failure happens multiple times a day,Electricity & Streetlights
Street remains dark due to broken lights,Electricity & Streetlights
Transformer is making loud noise and sparks,Electricity & Streetlights
Electricity problem is affecting online classes,Electricity & Streetlights
Power cut during night hours is troubling residents,Electricity & Streetlights
Broken streetlight near park is unsafe,Electricity & Streetlights
Dark roads are causing fear among people,Electricity & Streetlights
Open electric wires pose a shock risk,Electricity & Streetlights
Frequent voltage drops disturb daily routine,Electricity & Streetlights
Streetlights flicker continuously at night,Electricity & Streetlights
No power supply during early morning hours,Electricity & Streetlights
Electricity issue is affecting small shops,Electricity & Streetlights
Senior citizens face difficulty due to power cuts,Electricity & Streetlights
Children feel unsafe walking in dark streets,Electricity & Streetlights
Streetlight poles are rusted and broken,Electricity & Streetlights
Electric pole near school looks unsafe,Electricity & Streetlights
Power outage happens without prior notice,Electricity & Streetlights
Lights go off whenever it rains,Electricity & Streetlights
Electric wires are exposed near the road,Electricity & Streetlights
Streetlight not repaired for several weeks,Electricity & Streetlights
Frequent power failure affects medical equipment,Electricity & Streetlights
Voltage issues cause lights to dim,Electricity & Streetlights
Streetlights are covered by tree branches,Electricity & Streetlights
Electric supply is unstable in this area,Electricity & Streetlights
Power cuts affect children’s studies,Electricity & Streetlights
Dark streets increase risk of accidents,Electricity & Streetlights
Electric pole foundation is weak,Electricity & Streetlights
Transformer problem causing repeated outages,Electricity & Streetlights
Electricity issue affecting elderly residents,Electricity & Streetlights
Streetlight bulbs are broken,Electricity & Streetlights
Power supply goes off for hours daily,Electricity & Streetlights
Electric wires hanging low are dangerous,Electricity & Streetlights
Street remains dark after sunset,Electricity & Streetlights
Electric fault sparks during rain,Electricity & Streetlights
Voltage fluctuation damaging fans and lights,Electricity & Streetlights
Electric pole damaged due to accident,Electricity & Streetlights
No streetlights near bus stop,Electricity & Streetlights
Power failure affecting work from home,Electricity & Streetlights
Electricity issue making area unsafe,Electricity & Streetlights
Streetlights not functioning for many days,Electricity & Streetlights
Frequent tripping of electricity supply,Electricity & Streetlights
Electric problem reported earlier but unresolved,Electricity & Streetlights
Power supply problem needs urgent attention,Electricity & Streetlights
Garbage has not been collected for several days,Garbage & Sanitation
Overflowing dustbin near my house is causing bad smell,Garbage & Sanitation
Waste is piled up on the roadside,Garbage & Sanitation
Unclean street is affecting health of residents,Garbage & Sanitation
Garbage collection vehicle is not coming regularly,Garbage & Sanitation
Bad odour from garbage is spreading in the area,Garbage & Sanitation
Plastic waste is scattered all over the street,Garbage & Sanitation
Rotting garbage is attracting dogs and rats,Garbage & Sanitation
Sanitation workers are not cleaning the area,Garbage & Sanitation
Blocked drainage filled with waste water,Garbage & Sanitation
Mosquito breeding due to garbage accumulation,Garbage & Sanitation
Public dustbin is overflowing for many days,Garbage & Sanitation
Garbage dumped near school is unsafe for children,Garbage & Sanitation
Waste collection timing is very irregular,Garbage & Sanitation
Garbage is being burned causing smoke and pollution,Garbage & Sanitation
Dirty surroundings are causing illness,Garbage & Sanitation
Public toilet is very dirty and unhygienic,Garbage & Sanitation
Garbage problem is affecting elderly residents,Garbage & Sanitation
Wet waste and dry waste are not segregated,Garbage & Sanitation
Waste dumping in open area needs action,Garbage & Sanitation
Overflowing drainage causing foul smell,Garbage & Sanitation
Garbage issue is creating unhygienic conditions,Garbage & Sanitation
Trash is left unattended near residential area,Garbage & Sanitation
Garbage attracts insects and mosquitoes,Garbage & Sanitation
Waste collection workers skip our street,Garbage & Sanitation
Uncollected garbage blocking the road,Garbage & Sanitation
Garbage lying near water source is dangerous,Garbage & Sanitation
Sanitation issue is affecting daily life,Garbage & Sanitation
Dumped waste is spreading across the street,Garbage & Sanitation
Garbage problem has been ongoing for weeks,Garbage & Sanitation
Strong smell from waste makes it hard to stay outside,Garbage & Sanitation
Public dustbin is broken and unusable,Garbage & Sanitation
Garbage collection is delayed frequently,Garbage & Sanitation
Waste from nearby shops is dumped on road,Garbage & Sanitation
Garbage is creating slippery roads during rain,Garbage & Sanitation
Poor sanitation causing health risks,Garbage & Sanitation
Garbage attracts stray animals,Garbage & Sanitation
Trash piling up near bus stop,Garbage & Sanitation
Unclean area affecting children’s health,Garbage & Sanitation
Waste management in this area is poor,Garbage & Sanitation
Garbage overflow is blocking drainage,Garbage & Sanitation
Sanitation workers not responding to complaints,Garbage & Sanitation
Garbage is spreading during windy days,Garbage & Sanitation
Open dumping of waste is unsafe,Garbage & Sanitation
Area looks dirty and unhygienic,Garbage & Sanitation
Garbage problem worsening day by day,Garbage & Sanitation
Waste left uncovered is causing bad smell,Garbage & Sanitation
Garbage collection not happening on schedule,Garbage & Sanitation
Sanitation issue needs immediate attention,Garbage & Sanitation
Street feels unsafe during night hours,Public Safety
Frequent fights are happening in this area,Public Safety
Theft incidents have increased recently,Public Safety
Drunk people create nuisance on the street,Public Safety
No police patrol at night in our locality,Public Safety
Suspicious activities noticed near residential area,Public Safety
Accident prone area without warning signs,Public Safety
Harassment incidents reported near bus stop,Public Safety
Children do not feel safe walking alone,Public Safety
Senior citizens are afraid to go out at night,Public Safety
Poor lighting is making the area unsafe,Public Safety
Unsafe road crossing near main junction,Public Safety
Illegal activities happening openly nearby,Public Safety
Public disturbance late at night affects sleep,Public Safety
Safety concerns near school zone,Public Safety
Stray animals creating safety issues on road,Public Safety
Lack of traffic control causing accidents,Public Safety
Reckless driving is a threat to pedestrians,Public Safety
People speeding near residential area,Public Safety
No security personnel in public spaces,Public Safety
Uncontrolled crowd during evenings,Public Safety
Street corner feels unsafe after sunset,Public Safety
Pickpocketing incidents reported frequently,Public Safety
No CCTV cameras in important locations,Public Safety
Poor visibility leading to accidents,Public Safety
Unsafe footpath forces people onto road,Public Safety
Children crossing road without signals is risky,Public Safety
Drunk driving incidents reported,Public Safety
Lack of safety signs near construction site,Public Safety
People loitering suspiciously at night,Public Safety
Public safety is compromised in this area,Public Safety
No proper fencing near open grounds,Public Safety
Accidents occur frequently at this junction,Public Safety
Poor traffic discipline causing danger,Public Safety
Lack of speed breakers near school,Public Safety
Senior citizens struggle to cross the road safely,Public Safety
Street fights creating fear among residents,Public Safety
No emergency contact visible in public areas,Public Safety
Unsafe environment for women at night,Public Safety
Dark alleys make movement unsafe,Public Safety
Children are scared to use public roads,Public Safety
Public places lack basic security measures,Public Safety
No warning signs near accident zones,Public Safety
Risk of accidents due to poor road safety,Public Safety
Unregulated parking causing safety issues,Public Safety
Safety complaint raised earlier but unresolved,Public Safety
Crowded streets without proper control,Public Safety
Unsafe pedestrian crossings,Public Safety
Safety issues affecting daily routine,Public Safety
Public safety concern needs immediate action,Public Safety
